,TSLA
1611,233.6611
1612,233.15
1613,233.345
1614,232.69
1615,233.08
1616,233.37
1617,233.68
1618,233.54
1619,233.52
1620,233.8
1621,233.98
1622,233.86
1623,233.67
1624,233.37
1625,232.96
1626,233.12
1627,232.97
1628,233.01
1629,233.01
1630,233.41
1631,233.299
1632,233.15
1633,233.162
1634,233.54
1635,233.45
1636,233.394
1637,233.18
1638,233.0
1639,233.07
1640,233.42
1641,233.49
1642,234.035
1643,233.99
1644,233.86
1645,233.85
1646,234.07
1647,233.954
1648,233.93
1649,233.95
1650,233.85
1651,233.93
1652,233.95
1653,233.8401
1654,234.46
1655,234.84
1656,235.2
1657,234.99
1658,235.15
1659,235.5
1660,236.1
1661,236.554
1662,236.21
1663,236.11
1664,235.76
1665,235.695
1666,235.28
1667,235.46
1668,235.53
1669,235.86
1670,236.065
1671,235.75
1672,235.65
1673,235.72
1674,235.48
1675,234.83
1676,234.66
1677,234.82
1678,234.47
1679,234.34
1680,234.0835
1681,234.41
1682,234.27
1683,234.46
1684,234.2915
1685,234.272
1686,234.36
1687,234.42
1688,234.43
1689,234.71
1690,234.725
1691,234.6633
1692,234.3205
1693,234.334
1694,234.52
1695,234.86
1696,234.84
1697,234.58
1698,234.44
1699,234.45
1700,234.51
1701,234.259
1702,234.09
1703,233.8198
1704,233.53
1705,233.801
1706,233.84
1707,233.62
1708,233.37
1709,233.53
1710,233.48
1711,233.5
1712,233.53
1713,233.6999
1714,233.62
1715,233.63
1716,233.15
1717,233.11
1718,233.18
1719,233.045
1720,232.5
1721,232.56
1722,232.69
1723,233.5
1724,233.405
1725,233.11
1726,233.195
1727,233.022
1728,233.0
1729,233.376
1730,233.5
1731,233.5
1732,233.27
1733,233.13
1734,233.45
1735,233.275
1736,233.35
1737,233.0
1738,233.1025
1739,233.09
1740,233.1101
1741,233.48
1742,233.61
1743,233.59
1744,233.51
1745,233.76
1746,234.01
1747,234.0618
1748,234.13
1749,234.18
1750,234.22
1751,233.929
1752,233.86
1753,233.98
1754,233.78
1755,233.82
1756,233.43
1757,233.6
1758,233.23
1759,233.12
1760,233.12
1761,232.9725
1762,232.76
1763,232.8075
1764,232.54
1765,232.44
1766,232.2978
1767,232.2668
1768,232.4406
1769,232.3001
1770,232.48
1771,232.62
1772,232.624
1773,232.46
1774,232.42
1775,232.0
1776,231.76
1777,231.8797
1778,231.86
1779,232.16
1780,231.95
1781,231.55
1782,231.65
1783,231.505
1784,231.5565
1785,231.91
1786,231.6301
1787,231.7
1788,231.7
1789,231.63
1790,231.63
1791,231.59
1792,231.8
1793,231.83
1794,231.5
1795,231.5725
1796,231.705
1797,231.81
1798,231.54
1799,231.825
1800,231.74
1801,231.81
1802,231.995
1803,232.326
1804,232.36
1805,232.41
1806,232.3183
1807,232.312
1808,232.26
1809,232.02
1810,231.844
1811,231.6745
1812,231.63
1813,231.76
1814,231.62
1815,231.63
1816,231.7
1817,231.54
1818,231.6
1819,231.6576
1820,231.73
1821,231.73
1822,231.51
1823,231.595
1824,231.36
1825,231.449
1826,231.3369
1827,231.2
1828,231.18
1829,231.51
1830,231.49
1831,231.6
